Card Name,Card URL,Image URL,Description,Rarity Symbols
Lickitung,https://pocket.limitlesstcg.com/cards/A1/201,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_201_EN.webp,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either.",#201 · ◊◊
Chansey,https://pocket.limitlesstcg.com/cards/A1/202,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_202_EN.webp,This kindly Pokémon lays highly nutritious eggs and shares them with injured Pokémon or people.,#202 · ◊◊
Kangaskhan,https://pocket.limitlesstcg.com/cards/A1/203,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_203_EN.webp,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.",#203 · ◊◊◊
Tauros,https://pocket.limitlesstcg.com/cards/A1/204,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_204_EN.webp,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.",#204 · ◊◊
Ditto,https://pocket.limitlesstcg.com/cards/A1/205,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_205_EN.webp,"Its transformation ability is perfect. However, if made to laugh, it can’t maintain its disguise.",#205 · ◊◊◊
Eevee,https://pocket.limitlesstcg.com/cards/A1/206,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_206_EN.webp,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,#206 · ◊
Eevee,https://pocket.limitlesstcg.com/cards/A1/207,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_207_EN.webp,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,#207 · ◊
Eevee,https://pocket.limitlesstcg.com/cards/A1/208,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_208_EN.webp,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,#208 · ◊
Porygon,https://pocket.limitlesstcg.com/cards/A1/209,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_209_EN.webp,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,#209 · ◊◊
Aerodactyl,https://pocket.limitlesstcg.com/cards/A1/210,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_210_EN.webp,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,#210 · ◊◊◊
Snorlax,https://pocket.limitlesstcg.com/cards/A1/211,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_211_EN.webp,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",#211 · ◊◊◊
Minccino,https://pocket.limitlesstcg.com/cards/A1/212,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_212_EN.webp,The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.,#212 · ◊
Cinccino,https://pocket.limitlesstcg.com/cards/A1/213,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_213_EN.webp,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.,#213 · ◊◊
Wooloo,https://pocket.limitlesstcg.com/cards/A1/214,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_214_EN.webp,"Its curly fleece is such an effective cushion that this Pokémon could fall off a cliff and stand right back up at the bottom, unharmed.",#214 · ◊
Dubwool,https://pocket.limitlesstcg.com/cards/A1/215,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_215_EN.webp,"Weave a carpet from its springy wool, and you end up with something closer to a trampoline. You’ll start to bounce the moment you set foot on it.",#215 · ◊
Helix Fossil,https://pocket.limitlesstcg.com/cards/A1/216,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_216_EN.webp,No Description,#216 · ◊
Dome Fossil,https://pocket.limitlesstcg.com/cards/A1/217,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_217_EN.webp,No Description,#217 · ◊
Old Amber,https://pocket.limitlesstcg.com/cards/A1/218,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_218_EN.webp,No Description,#218 · ◊
Erika,https://pocket.limitlesstcg.com/cards/A1/219,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_219_EN.webp,No Description,#219 · ◊◊
Misty,https://pocket.limitlesstcg.com/cards/A1/220,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_220_EN.webp,No Description,#220 · ◊◊
Blaine,https://pocket.limitlesstcg.com/cards/A1/221,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_221_EN.webp,No Description,#221 · ◊◊
Koga,https://pocket.limitlesstcg.com/cards/A1/222,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_222_EN.webp,No Description,#222 · ◊◊
Giovanni,https://pocket.limitlesstcg.com/cards/A1/223,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_223_EN.webp,No Description,#223 · ◊◊
Brock,https://pocket.limitlesstcg.com/cards/A1/224,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_224_EN.webp,No Description,#224 · ◊◊
Sabrina,https://pocket.limitlesstcg.com/cards/A1/225,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_225_EN.webp,No Description,#225 · ◊◊
Lt. Surge,https://pocket.limitlesstcg.com/cards/A1/226,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_226_EN.webp,No Description,#226 · ◊◊
Bulbasaur,https://pocket.limitlesstcg.com/cards/A1/227,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_227_EN.webp,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,#227 · ☆
Gloom,https://pocket.limitlesstcg.com/cards/A1/228,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_228_EN.webp,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,#228 · ☆
Pinsir,https://pocket.limitlesstcg.com/cards/A1/229,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_229_EN.webp,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",#229 · ☆
Charmander,https://pocket.limitlesstcg.com/cards/A1/230,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_230_EN.webp,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",#230 · ☆
Rapidash,https://pocket.limitlesstcg.com/cards/A1/231,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_231_EN.webp,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",#231 · ☆
Squirtle,https://pocket.limitlesstcg.com/cards/A1/232,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_232_EN.webp,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",#232 · ☆
Gyarados,https://pocket.limitlesstcg.com/cards/A1/233,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_233_EN.webp,"Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.",#233 · ☆
Lapras,https://pocket.limitlesstcg.com/cards/A1/234,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_234_EN.webp,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",#234 · ☆
Electrode,https://pocket.limitlesstcg.com/cards/A1/235,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_235_EN.webp,"The more energy it charges up, the faster it gets. But this also makes it more likely to explode.",#235 · ☆
Alakazam,https://pocket.limitlesstcg.com/cards/A1/236,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_236_EN.webp,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",#236 · ☆
Slowpoke,https://pocket.limitlesstcg.com/cards/A1/237,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_237_EN.webp,It is incredibly slow and dopey. It takes five seconds for it to feel pain when under attack.,#237 · ☆
Diglett,https://pocket.limitlesstcg.com/cards/A1/238,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_238_EN.webp,"It lives about one yard underground, where it feeds on plant roots. It sometimes appears aboveground.",#238 · ☆
Cubone,https://pocket.limitlesstcg.com/cards/A1/239,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_239_EN.webp,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.",#239 · ☆
Nidoqueen,https://pocket.limitlesstcg.com/cards/A1/240,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_240_EN.webp,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",#240 · ☆
Nidoking,https://pocket.limitlesstcg.com/cards/A1/241,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_241_EN.webp,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",#241 · ☆
Golbat,https://pocket.limitlesstcg.com/cards/A1/242,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_242_EN.webp,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",#242 · ☆
Weezing,https://pocket.limitlesstcg.com/cards/A1/243,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_243_EN.webp,"If one of the twin Koffing inflates, the other one deflates. It constantly mixes its poisonous gases.",#243 · ☆
Dragonite,https://pocket.limitlesstcg.com/cards/A1/244,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_244_EN.webp,It is said that somewhere in the ocean lies an island where these gather. Only they live there.,#244 · ☆
Pidgeot,https://pocket.limitlesstcg.com/cards/A1/245,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_245_EN.webp,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.",#245 · ☆
Meowth,https://pocket.limitlesstcg.com/cards/A1/246,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_246_EN.webp,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.",#246 · ☆
Ditto,https://pocket.limitlesstcg.com/cards/A1/247,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_247_EN.webp,"Its transformation ability is perfect. However, if made to laugh, it can’t maintain its disguise.",#247 · ☆
Eevee,https://pocket.limitlesstcg.com/cards/A1/248,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_248_EN.webp,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,#248 · ☆
Porygon,https://pocket.limitlesstcg.com/cards/A1/249,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_249_EN.webp,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,#249 · ☆
Snorlax,https://pocket.limitlesstcg.com/cards/A1/250,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_250_EN.webp,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",#250 · ☆
Venusaur ex,https://pocket.limitlesstcg.com/cards/A1/251,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_251_EN.webp,No Description,#251 · ☆☆
Exeggutor ex,https://pocket.limitlesstcg.com/cards/A1/252,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_252_EN.webp,No Description,#252 · ☆☆
Charizard ex,https://pocket.limitlesstcg.com/cards/A1/253,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_253_EN.webp,No Description,#253 · ☆☆
Arcanine ex,https://pocket.limitlesstcg.com/cards/A1/254,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_254_EN.webp,No Description,#254 · ☆☆
Moltres ex,https://pocket.limitlesstcg.com/cards/A1/255,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_255_EN.webp,No Description,#255 · ☆☆
Blastoise ex,https://pocket.limitlesstcg.com/cards/A1/256,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_256_EN.webp,No Description,#256 · ☆☆
Starmie ex,https://pocket.limitlesstcg.com/cards/A1/257,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_257_EN.webp,No Description,#257 · ☆☆
Articuno ex,https://pocket.limitlesstcg.com/cards/A1/258,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_258_EN.webp,No Description,#258 · ☆☆
Pikachu ex,https://pocket.limitlesstcg.com/cards/A1/259,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_259_EN.webp,No Description,#259 · ☆☆
Zapdos ex,https://pocket.limitlesstcg.com/cards/A1/260,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_260_EN.webp,No Description,#260 · ☆☆
Gengar ex,https://pocket.limitlesstcg.com/cards/A1/261,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_261_EN.webp,No Description,#261 · ☆☆
Mewtwo ex,https://pocket.limitlesstcg.com/cards/A1/262,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_262_EN.webp,No Description,#262 · ☆☆
Machamp ex,https://pocket.limitlesstcg.com/cards/A1/263,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_263_EN.webp,No Description,#263 · ☆☆
Marowak ex,https://pocket.limitlesstcg.com/cards/A1/264,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_264_EN.webp,No Description,#264 · ☆☆
Wigglytuff ex,https://pocket.limitlesstcg.com/cards/A1/265,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_265_EN.webp,No Description,#265 · ☆☆
Erika,https://pocket.limitlesstcg.com/cards/A1/266,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_266_EN.webp,No Description,#266 · ☆☆
Misty,https://pocket.limitlesstcg.com/cards/A1/267,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_267_EN.webp,No Description,#267 · ☆☆
Blaine,https://pocket.limitlesstcg.com/cards/A1/268,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_268_EN.webp,No Description,#268 · ☆☆
Koga,https://pocket.limitlesstcg.com/cards/A1/269,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_269_EN.webp,No Description,#269 · ☆☆
Giovanni,https://pocket.limitlesstcg.com/cards/A1/270,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_270_EN.webp,No Description,#270 · ☆☆
Brock,https://pocket.limitlesstcg.com/cards/A1/271,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_271_EN.webp,No Description,#271 · ☆☆
Sabrina,https://pocket.limitlesstcg.com/cards/A1/272,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_272_EN.webp,No Description,#272 · ☆☆
Lt. Surge,https://pocket.limitlesstcg.com/cards/A1/273,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_273_EN.webp,No Description,#273 · ☆☆
Moltres ex,https://pocket.limitlesstcg.com/cards/A1/274,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_274_EN.webp,No Description,#274 · ☆☆
Articuno ex,https://pocket.limitlesstcg.com/cards/A1/275,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_275_EN.webp,No Description,#275 · ☆☆
Zapdos ex,https://pocket.limitlesstcg.com/cards/A1/276,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_276_EN.webp,No Description,#276 · ☆☆
Gengar ex,https://pocket.limitlesstcg.com/cards/A1/277,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_277_EN.webp,No Description,#277 · ☆☆
Machamp ex,https://pocket.limitlesstcg.com/cards/A1/278,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_278_EN.webp,No Description,#278 · ☆☆
Wigglytuff ex,https://pocket.limitlesstcg.com/cards/A1/279,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_279_EN.webp,No Description,#279 · ☆☆
Charizard ex,https://pocket.limitlesstcg.com/cards/A1/280,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_280_EN.webp,No Description,#280 · ☆☆☆
Pikachu ex,https://pocket.limitlesstcg.com/cards/A1/281,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_281_EN.webp,No Description,#281 · ☆☆☆
Mewtwo ex,https://pocket.limitlesstcg.com/cards/A1/282,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_282_EN.webp,No Description,#282 · ☆☆☆
Mew,https://pocket.limitlesstcg.com/cards/A1/283,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_283_EN.webp,"Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.",#283 · ☆☆☆
Charizard ex,https://pocket.limitlesstcg.com/cards/A1/284,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_284_EN.webp,No Description,#284 · ♕
Pikachu ex,https://pocket.limitlesstcg.com/cards/A1/285,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_285_EN.webp,No Description,#285 · ♕
Mewtwo ex,https://pocket.limitlesstcg.com/cards/A1/286,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_286_EN.webp,No Description,#286 · ♕
Exeggcute,https://pocket.limitlesstcg.com/cards/A1a/1,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_001_EN.webp,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",#1 · ◊
Exeggutor,https://pocket.limitlesstcg.com/cards/A1a/2,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_002_EN.webp,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,#2 · ◊◊
Celebi ex,https://pocket.limitlesstcg.com/cards/A1a/3,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_003_EN.webp,No Description,#3 · ◊◊◊◊
Snivy,https://pocket.limitlesstcg.com/cards/A1a/4,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_004_EN.webp,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,#4 · ◊
Servine,https://pocket.limitlesstcg.com/cards/A1a/5,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_005_EN.webp,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",#5 · ◊◊
Serperior,https://pocket.limitlesstcg.com/cards/A1a/6,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_006_EN.webp,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,#6 · ◊◊◊
Morelull,https://pocket.limitlesstcg.com/cards/A1a/7,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_007_EN.webp,Pokémon living in the forest eat the delicious caps on Morelull’s head. The caps regrow overnight.,#7 · ◊
Shiinotic,https://pocket.limitlesstcg.com/cards/A1a/8,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_008_EN.webp,"Its flickering spores lure in prey and put them to sleep. Once this Pokémon has its prey snoozing, it drains their vitality with its fingertips.",#8 · ◊◊
Dhelmise,https://pocket.limitlesstcg.com/cards/A1a/9,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_009_EN.webp,"After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon.",#9 · ◊◊
Ponyta,https://pocket.limitlesstcg.com/cards/A1a/10,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_010_EN.webp,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",#10 · ◊
Rapidash,https://pocket.limitlesstcg.com/cards/A1a/11,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_011_EN.webp,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",#11 · ◊◊
Magmar,https://pocket.limitlesstcg.com/cards/A1a/12,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_012_EN.webp,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,#12 · ◊◊
Larvesta,https://pocket.limitlesstcg.com/cards/A1a/13,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_013_EN.webp,This Pokémon was called the Larva That Stole the Sun. The fire Larvesta spouts from its horns can cut right through a sheet of iron.,#13 · ◊
Volcarona,https://pocket.limitlesstcg.com/cards/A1a/14,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_014_EN.webp,"Its burning body causes it to be unpopular in hot parts of the world, but in cold ones, Volcarona is revered as an embodiment of the sun.",#14 · ◊◊◊
Salandit,https://pocket.limitlesstcg.com/cards/A1a/15,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_015_EN.webp,"It taunts its prey and lures them into narrow, rocky areas where it then sprays them with toxic gas to make them dizzy and take them down.",#15 · ◊
Salazzle,https://pocket.limitlesstcg.com/cards/A1a/16,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_016_EN.webp,"Salazzle makes its opponents light-headed with poisonous gas, then captivates them with alluring movements to turn them into loyal servants.",#16 · ◊
Magikarp,https://pocket.limitlesstcg.com/cards/A1a/17,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_017_EN.webp,"An underpowered, pathetic Pokémon. It may jump high on rare occasions but never more than seven feet.",#17 · ◊
Gyarados ex,https://pocket.limitlesstcg.com/cards/A1a/18,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_018_EN.webp,No Description,#18 · ◊◊◊◊
Vaporeon,https://pocket.limitlesstcg.com/cards/A1a/19,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_019_EN.webp,"It lives close to water. Its long tail is ridged with a fin, which is often mistaken for a mermaid’s.",#19 · ◊◊◊
Finneon,https://pocket.limitlesstcg.com/cards/A1a/20,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_020_EN.webp,The line running down its side can store sunlight. It shines vividly at night.,#20 · ◊
Lumineon,https://pocket.limitlesstcg.com/cards/A1a/21,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_021_EN.webp,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.",#21 · ◊◊
Chewtle,https://pocket.limitlesstcg.com/cards/A1a/22,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_022_EN.webp,"Its large front tooth is still growing in. When the tooth itches, this Pokémon will bite another Chewtle’s horn, and the two Pokémon will tussle.",#22 · ◊
Drednaw,https://pocket.limitlesstcg.com/cards/A1a/23,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_023_EN.webp,"Its massive, jagged teeth can crush a boulder in a single bite. This Pokémon has an extremely vicious disposition.",#23 · ◊◊
Cramorant,https://pocket.limitlesstcg.com/cards/A1a/24,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_024_EN.webp,"It’s so strong that it can knock out some opponents in a single hit, but it also may forget what it’s battling midfight.",#24 · ◊
Pikachu,https://pocket.limitlesstcg.com/cards/A1a/25,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_025_EN.webp,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",#25 · ◊
Raichu,https://pocket.limitlesstcg.com/cards/A1a/26,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_026_EN.webp,"Its tail discharges electricity into the ground, protecting it from getting shocked.",#26 · ◊◊◊
Electabuzz,https://pocket.limitlesstcg.com/cards/A1a/27,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_027_EN.webp,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,#27 · ◊◊
Joltik,https://pocket.limitlesstcg.com/cards/A1a/28,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_028_EN.webp,Joltik can be found clinging to other Pokémon. It’s soaking up static electricity because it can’t produce a charge on its own.,#28 · ◊
Galvantula,https://pocket.limitlesstcg.com/cards/A1a/29,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_029_EN.webp,It launches electrified fur from its abdomen as its means of attack. Opponents hit by the fur could be in for three full days and nights of paralysis.,#29 · ◊◊
Dedenne,https://pocket.limitlesstcg.com/cards/A1a/30,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_030_EN.webp,"It’s small and its electricity-generating organ is not fully developed, so it uses its tail to absorb electricity from people’s homes and charge itself.",#30 · ◊
Mew,https://pocket.limitlesstcg.com/cards/A1a/31,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_031_EN.webp,"Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.",#31 · ◊◊◊
Mew ex,https://pocket.limitlesstcg.com/cards/A1a/32,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_032_EN.webp,No Description,#32 · ◊◊◊◊
Sigilyph,https://pocket.limitlesstcg.com/cards/A1a/33,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_033_EN.webp,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.,#33 · ◊◊
Elgyem,https://pocket.limitlesstcg.com/cards/A1a/34,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_034_EN.webp,"If this Pokémon stands near a TV, strange scenery will appear on the screen. That scenery is said to be from its home.",#34 · ◊
